city,menuItemName,menuItemDescription,menuItemCurrentPrice,menuItemImageUrl,menuItemCategory,menuItemAverageRating,menuItemRatingCount,restaurantName,restaurantDescription
Houston,1% Low Fat Milk (110 Cals),"As delicious as our sandwiches are, they are even better when paired with the perfect side and drink or even adding a little something extra. With such a variety to choose from, there's truly something for every taste.",$2.19,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/7b121fd6-b760-4d35-9356-57ca8a3e56a9-retina-large.png",Drinks,4.57420492172241,566,Subway,"Sandwiches, Salads, Dessert, Snacks"
Houston,10-Piece Boneless Wing Meal,Served with fries and a drink.,$14.19,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/47a96d1d-e0d8-462d-b1cd-eebabf77d1e4-retina-large-jpeg",Boneless Wings,4.42056798934937,6194,American Deli,"Deli, Takeout, Gyro, Chicken, Burgers, Fast Food, Chicken Wings, Cheesesteaks, Family Meals, Pickup"
Houston,8-Piece Boneless Wing Meal,Served with fries and a drink.,$12.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/47a96d1d-e0d8-462d-b1cd-eebabf77d1e4-retina-large-jpeg",Boneless Wings,4.42056798934937,6194,American Deli,"Deli, Takeout, Gyro, Chicken, Burgers, Fast Food, Chicken Wings, Cheesesteaks, Family Meals, Pickup"
Houston,LUNCH DUET,Select two of these Benihana favorites:Beef* Julienne | Chicken | Calamari | Yakisoba | Scallops | Hibachi Shrimp |,$24.10,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/79d784d2-4e94-4018-b589-87875c3d11be-7a441e91-39fa-4c2b-8c8e-6770fa08eb6b-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,FILET MIGNON,Tenderloin* and mushrooms lightly seasoned and grilled to perfection.,$24.40,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3a2cb17a-e7e8-4a76-9b3e-9236b2fda7b9-b70bcb6c-7ef5-48b3-bd8e-006b1c720edb-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,HIBACHI STEAK,New York strip steak* and mushrooms teppanyaki grilled to your specification.,$22.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/cfd5b06f-f55c-4105-b5c4-ac9df658f08a-327fddbd-d543-4326-838d-014f889830d9-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,SPICY HIBACHI CHICKEN,Chicken breast grilled with green onions and mushrooms in a special spicy homemade sauce.,$19.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3af3b912-aec5-4838-96b5-13cc70b7ce54-d69f5427-e116-426c-a8bd-c9db3d1d669c-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,HIBACHI CHICKEN,Chicken breast and mushrooms with sesame seeds. ,$18.40,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/54ea5e87-75b5-4364-81b9-245f8474c6f9-ef3454be-e187-43c7-a26b-dc3fb63f6454-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,HIBACHI SHRIMP,Shrimp grilled with lemon. ,$21.20,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/da202378-88ba-4419-b939-7bddef346259-053e30f9-dfa2-4202-957e-1f765b3492e6-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,BEEF JULIENNE,Teriyaki beef* with green onions and mushrooms grilled in a homemade teriyaki sauce.,$21.30,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/a5997480-f198-42f6-8c54-6c5402f995fb-d3456acb-9230-409e-af11-1f23cc892789-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
